2019 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-07-01T15:26:36 Cycle:137da0a3-a392-4005-ac62-0e82b00a6d5e Created:2019-07-01T15:24:49 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,318,Bean,93925,Belconnen BEAN PPVC,33397,COCKS,Ed,6,N,N,LP,Liberal,288,0.93
ACT,318,Bean,93925,Belconnen BEAN PPVC,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,418,-0.93
ACT,318,Bean,93927,BLV Bean PPVC,33397,COCKS,Ed,6,N,N,LP,Liberal,2,-34.62
ACT,318,Bean,93927,BLV Bean PPVC,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,11,34.62
ACT,318,Bean,11877,Bonython,33397,COCKS,Ed,6,N,N,LP,Liberal,504,0.62
ACT,318,Bean,11877,Bonython,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,826,-0.62
ACT,318,Bean,11452,Calwell,33397,COCKS,Ed,6,N,N,LP,Liberal,794,1.99
ACT,318,Bean,11452,Calwell,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,1092,-1.99
ACT,318,Bean,8761,Chapman,33397,COCKS,Ed,6,N,N,LP,Liberal,804,-4.49
ACT,318,Bean,8761,Chapman,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,1405,4.49
ACT,318,Bean,8763,Chisholm,33397,COCKS,Ed,6,N,N,LP,Liberal,625,4.05
ACT,318,Bean,8763,Chisholm,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,807,-4.05
ACT,318,Bean,93916,City (Bean),33397,COCKS,Ed,6,N,N,LP,Liberal,26,-6.05
ACT,318,Bean,93916,City (Bean),32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,66,6.05
ACT,318,Bean,93922,City BEAN PPVC,33397,COCKS,Ed,6,N,N,LP,Liberal,888,-7.4
ACT,318,Bean,93922,City BEAN PPVC,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,1522,7.4
ACT,318,Bean,31298,Conder,33397,COCKS,Ed,6,N,N,LP,Liberal,921,6.12
ACT,318,Bean,31298,Conder,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,1135,-6.12
ACT,318,Bean,83835,Conder North,33397,COCKS,Ed,6,N,N,LP,Liberal,431,6.98
ACT,318,Bean,83835,Conder North,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,505,-6.98
ACT,318,Bean,82523,Coombs,33397,COCKS,Ed,6,N,N,LP,Liberal,749,-3.64
ACT,318,Bean,82523,Coombs,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,1350,3.64
ACT,318,Bean,93906,Curtin (Bean),33397,COCKS,Ed,6,N,N,LP,Liberal,86,1.11
ACT,318,Bean,93906,Curtin (Bean),32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,144,-1.11
ACT,318,Bean,93932,Divisional Office (PREPOLL),33397,COCKS,Ed,6,N,N,LP,Liberal,33,44.59
ACT,318,Bean,93932,Divisional Office (PREPOLL),32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,41,55.41
ACT,318,Bean,8767,Duffy,33397,COCKS,Ed,6,N,N,LP,Liberal,493,-6.14
ACT,318,Bean,8767,Duffy,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,1221,6.14
ACT,318,Bean,8768,Fadden,33397,COCKS,Ed,6,N,N,LP,Liberal,759,-2.69
ACT,318,Bean,8768,Fadden,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,921,2.69
ACT,318,Bean,8769,Farrer,33397,COCKS,Ed,6,N,N,LP,Liberal,895,-3.6
ACT,318,Bean,8769,Farrer,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,1279,3.6
ACT,318,Bean,93913,Garran (Bean),33397,COCKS,Ed,6,N,N,LP,Liberal,190,-2.87
ACT,318,Bean,93913,Garran (Bean),32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,279,2.87
ACT,318,Bean,8771,Gilmore,33397,COCKS,Ed,6,N,N,LP,Liberal,691,2.18
ACT,318,Bean,8771,Gilmore,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,861,-2.18
ACT,318,Bean,12072,Gordon,33397,COCKS,Ed,6,N,N,LP,Liberal,1068,2.99
ACT,318,Bean,12072,Gordon,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,1433,-2.99
ACT,318,Bean,83837,Gordon North,33397,COCKS,Ed,6,N,N,LP,Liberal,275,12.59
ACT,318,Bean,83837,Gordon North,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,257,-12.59
ACT,318,Bean,8772,Gowrie,33397,COCKS,Ed,6,N,N,LP,Liberal,647,2.22
ACT,318,Bean,8772,Gowrie,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,855,-2.22
ACT,318,Bean,97445,Greenway,33397,COCKS,Ed,6,N,N,LP,Liberal,559,6.09
ACT,318,Bean,97445,Greenway,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,734,-6.09
ACT,318,Bean,93929,Gungahlin BEAN PPVC,33397,COCKS,Ed,6,N,N,LP,Liberal,177,7.29
ACT,318,Bean,93929,Gungahlin BEAN PPVC,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,166,-7.29
ACT,318,Bean,8773,Holder,33397,COCKS,Ed,6,N,N,LP,Liberal,668,-1.47
ACT,318,Bean,8773,Holder,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,985,1.47
ACT,318,Bean,93908,Hughes (Bean),33397,COCKS,Ed,6,N,N,LP,Liberal,92,3
ACT,318,Bean,93908,Hughes (Bean),32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,121,-3
ACT,318,Bean,8884,Isabella Plains,33397,COCKS,Ed,6,N,N,LP,Liberal,731,5.34
ACT,318,Bean,8884,Isabella Plains,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,1001,-5.34
ACT,318,Bean,8776,Kambah North,33397,COCKS,Ed,6,N,N,LP,Liberal,543,1.09
ACT,318,Bean,8776,Kambah North,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,880,-1.09
ACT,318,Bean,8777,Kambah South,33397,COCKS,Ed,6,N,N,LP,Liberal,641,0.25
ACT,318,Bean,8777,Kambah South,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,1206,-0.25
ACT,318,Bean,8778,Kambah West,33397,COCKS,Ed,6,N,N,LP,Liberal,881,0.95
ACT,318,Bean,8778,Kambah West,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,1331,-0.95
ACT,318,Bean,93909,Lyons (Bean),33397,COCKS,Ed,6,N,N,LP,Liberal,124,-2.79
ACT,318,Bean,93909,Lyons (Bean),32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,241,2.79
ACT,318,Bean,8780,Mawson,33397,COCKS,Ed,6,N,N,LP,Liberal,701,0.22
ACT,318,Bean,8780,Mawson,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,1103,-0.22
ACT,318,Bean,8781,Monash,33397,COCKS,Ed,6,N,N,LP,Liberal,806,1.97
ACT,318,Bean,8781,Monash,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,1036,-1.97
ACT,318,Bean,65739,Norfolk Island,33397,COCKS,Ed,6,N,N,LP,Liberal,145,3.16
ACT,318,Bean,65739,Norfolk Island,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,131,-3.16
ACT,318,Bean,66153,Norfolk Island PPVC,33397,COCKS,Ed,6,N,N,LP,Liberal,157,-4.15
ACT,318,Bean,66153,Norfolk Island PPVC,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,117,4.15
ACT,318,Bean,93926,Other Mobile Team 1,33397,COCKS,Ed,6,N,N,LP,Liberal,5,8.34
ACT,318,Bean,93926,Other Mobile Team 1,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,7,-8.34
ACT,318,Bean,93928,Parkes (Bean),33397,COCKS,Ed,6,N,N,LP,Liberal,130,-11.23
ACT,318,Bean,93928,Parkes (Bean),32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,412,11.23
ACT,318,Bean,97479,Parkes BEAN PPVC,33397,COCKS,Ed,6,N,N,LP,Liberal,350,36.92
ACT,318,Bean,97479,Parkes BEAN PPVC,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,598,63.08
ACT,318,Bean,8784,Pearce,33397,COCKS,Ed,6,N,N,LP,Liberal,808,-1.77
ACT,318,Bean,8784,Pearce,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,1305,1.77
ACT,318,Bean,8786,Richardson,33397,COCKS,Ed,6,N,N,LP,Liberal,529,7.72
ACT,318,Bean,8786,Richardson,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,676,-7.72
ACT,318,Bean,93921,Special Hospital Team 1,33397,COCKS,Ed,6,N,N,LP,Liberal,70,10.69
ACT,318,Bean,93921,Special Hospital Team 1,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,64,-10.69
ACT,318,Bean,93923,Special Hospital Team 2,33397,COCKS,Ed,6,N,N,LP,Liberal,75,23.77
ACT,318,Bean,93923,Special Hospital Team 2,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,40,-23.77
ACT,318,Bean,93924,Special Hospital Team 3,33397,COCKS,Ed,6,N,N,LP,Liberal,47,5.13
ACT,318,Bean,93924,Special Hospital Team 3,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,54,-5.13
ACT,318,Bean,8788,Tharwa,33397,COCKS,Ed,6,N,N,LP,Liberal,55,-3.16
ACT,318,Bean,8788,Tharwa,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,57,3.16
ACT,318,Bean,11878,Theodore,33397,COCKS,Ed,6,N,N,LP,Liberal,634,5.73
ACT,318,Bean,11878,Theodore,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,802,-5.73
ACT,318,Bean,32704,Tuggeranong BEAN PPVC,33397,COCKS,Ed,6,N,N,LP,Liberal,8200,4.18
ACT,318,Bean,32704,Tuggeranong BEAN PPVC,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,8722,-4.18
ACT,318,Bean,8790,Wanniassa,33397,COCKS,Ed,6,N,N,LP,Liberal,658,3.09
ACT,318,Bean,8790,Wanniassa,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,919,-3.09
ACT,318,Bean,8791,Wanniassa Hills,33397,COCKS,Ed,6,N,N,LP,Liberal,631,-1.37
ACT,318,Bean,8791,Wanniassa Hills,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,1078,1.37
ACT,318,Bean,8792,Waramanga,33397,COCKS,Ed,6,N,N,LP,Liberal,624,-4.89
ACT,318,Bean,8792,Waramanga,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,1249,4.89
ACT,318,Bean,83841,Waramanga West,33397,COCKS,Ed,6,N,N,LP,Liberal,206,-4.39
ACT,318,Bean,83841,Waramanga West,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,394,4.39
ACT,318,Bean,8793,Weston,33397,COCKS,Ed,6,N,N,LP,Liberal,490,0.95
ACT,318,Bean,8793,Weston,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,811,-0.95
ACT,318,Bean,32705,Woden BEAN PPVC,33397,COCKS,Ed,6,N,N,LP,Liberal,4625,-0.63
ACT,318,Bean,32705,Woden BEAN PPVC,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,5768,0.63
ACT,101,Canberra,8801,Ainslie North,32233,PAYNE,Alicia,2,Y,N,ALP,Australian Labor Party,1581,5.86
ACT,101,Canberra,8801,Ainslie North,32881,ZAKI,Mina,4,N,N,LP,Liberal,331,-5.86
ACT,101,Canberra,8803,Aranda (Canberra),32233,PAYNE,Alicia,2,Y,N,ALP,Australian Labor Party,1421,6
ACT,101,Canberra,8803,Aranda (Canberra),32881,ZAKI,Mina,4,N,N,LP,Liberal,406,-6
ACT,101,Canberra,8829,Barton,32233,PAYNE,Alicia,2,Y,N,ALP,Australian Labor Party,1380,11.88
ACT,101,Canberra,8829,Barton,32881,ZAKI,Mina,4,N,N,LP,Liberal,665,-11.88
ACT,101,Canberra,93968,Belconnen (Canberra),32233,PAYNE,Alicia,2,Y,N,ALP,Australian Labor Party,316,-0.65
ACT,101,Canberra,93968,Belconnen (Canberra),32881,ZAKI,Mina,4,N,N,LP,Liberal,151,0.65
ACT,101,Canberra,64583,Belconnen CANBERRA PPVC,32233,PAYNE,Alicia,2,Y,N,ALP,Australian Labor Party,3868,-0.57
ACT,101,Canberra,64583,Belconnen CANBERRA PPVC,32881,ZAKI,Mina,4,N,N,LP,Liberal,2463,0.57
ACT,101,Canberra,65504,BLV Canberra PPVC,32233,PAYNE,Alicia,2,Y,N,ALP,Australian Labor Party,11,-11.67
ACT,101,Canberra,65504,BLV Canberra PPVC,32881,ZAKI,Mina,4,N,N,LP,Liberal,9,11.67
ACT,101,Canberra,8802,Braddon,32233,PAYNE,Alicia,2,Y,N,ALP,Australian Labor Party,1780,7.92
ACT,101,Canberra,8802,Braddon,32881,ZAKI,Mina,4,N,N,LP,Liberal,485,-7.92
ACT,101,Canberra,83849,Bruce (Canberra),32233,PAYNE,Alicia,2,Y,N,ALP,Australian Labor Party,756,-0.52
ACT,101,Canberra,83849,Bruce (Canberra),32881,ZAKI,Mina,4,N,N,LP,Liberal,361,0.52
ACT,101,Canberra,8806,Campbell,32233,PAYNE,Alicia,2,Y,N,ALP,Australian Labor Party,1247,4.21
ACT,101,Canberra,8806,Campbell,32881,ZAKI,Mina,4,N,N,LP,Liberal,911,-4.21
ACT,101,Canberra,8808,City (Canberra),32233,PAYNE,Alicia,2,Y,N,ALP,Australian Labor Party,1065,8.13
ACT,101,Canberra,8808,City (Canberra),32881,ZAKI,Mina,4,N,N,LP,Liberal,346,-8.13
ACT,101,Canberra,58708,City CANBERRA PPVC,32233,PAYNE,Alicia,2,Y,N,ALP,Australian Labor Party,6155,7.3
ACT,101,Canberra,58708,City CANBERRA PPVC,32881,ZAKI,Mina,4,N,N,LP,Liberal,2844,-7.3
ACT,101,Canberra,8764,Curtin (Canberra),32233,PAYNE,Alicia,2,Y,N,ALP,Australian Labor Party,1362,4.97
ACT,101,Canberra,8764,Curtin (Canberra),32881,ZAKI,Mina,4,N,N,LP,Liberal,623,-4.97
ACT,101,Canberra,8766,Deakin,32233,PAYNE,Alicia,2,Y,N,ALP,Australian Labor Party,513,4.7
ACT,101,Canberra,8766,Deakin,32881,ZAKI,Mina,4,N,N,LP,Liberal,621,-4.7
ACT,101,Canberra,8809,Dickson,32233,PAYNE,Alicia,2,Y,N,ALP,Australian Labor Party,682,2.12
ACT,101,Canberra,8809,Dickson,32881,ZAKI,Mina,4,N,N,LP,Liberal,263,-2.12
ACT,101,Canberra,83852,Dickson East,32233,PAYNE,Alicia,2,Y,N,ALP,Australian Labor Party,690,4.33
ACT,101,Canberra,83852,Dickson East,32881,ZAKI,Mina,4,N,N,LP,Liberal,180,-4.33
ACT,101,Canberra,30092,Divisional Office (PREPOLL),32233,PAYNE,Alicia,2,Y,N,ALP,Australian Labor Party,218,8.29
ACT,101,Canberra,30092,Divisional Office (PREPOLL),32881,ZAKI,Mina,4,N,N,LP,Liberal,92,-8.29
ACT,101,Canberra,82525,Downer,32233,PAYNE,Alicia,2,Y,N,ALP,Australian Labor Party,918,4.66
ACT,101,Canberra,82525,Downer,32881,ZAKI,Mina,4,N,N,LP,Liberal,216,-4.66
ACT,101,Canberra,8794,Garran (Canberra),32233,PAYNE,Alicia,2,Y,N,ALP,Australian Labor Party,557,7.08
ACT,101,Canberra,8794,Garran (Canberra),32881,ZAKI,Mina,4,N,N,LP,Liberal,318,-7.08
ACT,101,Canberra,8816,Giralang (Canberra),32233,PAYNE,Alicia,2,Y,N,ALP,Australian Labor Party,896,1.75
ACT,101,Canberra,8816,Giralang (Canberra),32881,ZAKI,Mina,4,N,N,LP,Liberal,445,-1.75
ACT,101,Canberra,8817,Griffith,32233,PAYNE,Alicia,2,Y,N,ALP,Australian Labor Party,874,8.4
ACT,101,Canberra,8817,Griffith,32881,ZAKI,Mina,4,N,N,LP,Liberal,524,-8.4
ACT,101,Canberra,65981,Gungahlin CANBERRA PPVC,32233,PAYNE,Alicia,2,Y,N,ALP,Australian Labor Party,1482,9.43
ACT,101,Canberra,65981,Gungahlin CANBERRA PPVC,32881,ZAKI,Mina,4,N,N,LP,Liberal,869,-9.43
